Manufacturer (Customer),Clean Name (Sanmina Agile/Oracle)
Crydom,CRYDOM CO
Crystek Crystals,CRYSTEK CRYSTALS
CTS,CTS
CTS Corporation,CTS CORP
CUI,CUI
CUI Inc,CUI INC
Custom Metal Products,CUSTOM METAL PRODUCTS
CYPRESS,CYPRESS
CYTEC,CYTEC
D.B. Roberts,DB ROBERTS
DAI NIPPON PRINTING,DAI NIPPON PRINTING
DATUM MACHINING,DATUM MACHINING
DELTA,DELTA
DEVICE TECHNOLOGIES INC,DEVICE TECHNOLOGIES INC
Dialight,DIALIGHT CORP
DIALOG SEMICONDUCTOR,DIALOG SEMICONDUCTOR
Diamond USA Inc.,DIAMOND USA
DigiKey Corp.,DIGIKEY
Digilent Inc.,DIGILENT INC
Diodes,Diodes Inc
Diodes Inc,Diodes Inc
Diodes Inc.,DIODES INC
DIODES INCORPORATED,DIODES INC
Diodes Zetex,DIODES ZETEX SEMICONDUCTORS
"Diodes, Inc.",DIODES INC
DIRAK,DIRAK
DITOM,DITOM MICROWAVE
Dow Corning Corporation,DOW CORNING
Dow-Key Microwave Corporation,DOW-KEY MICROWAVE
DRAKE INDUSTRIES,DRAKE INDUSTRIES
Dyconn,DYCONN
E SONG AMERICA,E-SONG AMERICA
EAR SPECIALTY,EAR SPECIALTY
EATON,EATON
Eaton Bussmann,EATON BUSSMANN
EBMPAPST,EBM PAPST
Ecliptek,ABRACON CORP
ECS,ECS INC
ECS Inc,ECS INC
ECS INC.,ECS INC
ECS INC.,ECS INC.
ECS International,ECS INC
EDMA TECH,EDMA-TECH
EDMA-TECH,EDMA-TECH
EFCO,EFCO COMPONENTS
E-INK CORPORATION,E-INK CORPORATION
ELECTRIC MOTION COMPANY,ELECTRIC MOTION COMPANY
EPCOS (TDK),TDK
EPOXY TECHNOLOGY INC,EPOXY TECH
EPSON,EPSON 
Espressif Systems,ESPRESSIF
Essentra,ESSENTRA
E-Switch,E-Switch
EVERLIGHT,EVERLIGHT
FAIRCHILD,FAIRCHILD SEMICONDUCTOR
Fairchild Semi,FAIRCHILD SEMI
Fairchild Semiconductor,Fairchild Semiconductor
Fairchild/ON Semiconductor,Fairchild Semiconductor
Fairview Microwave,FAIRVIEW MICROWAVE
Fairview Microwave Inc ,FAIRVIEW MICROWAVE
FASPRO TECHNOLOGIES INC.,FASPRO PRODUCTS
FAST SIGNS,FAST SIGNS
Fastenal,FASTENAL
FCI,AMPHENOL FCI
FERRULES DIRECT,FERRULES DIRECT
FESTO,FESTO
FINISAR,FINISAR
Flex LTD,FLEXTRONICS
FLEX POWER,FLEXTRONICS
Flex Power Modules,FLEX POWER 
FLEX POWER ,FLEXTRONICS
FOX ELECTRONICS,FOX ELECTRONICS
FOXCONN,FOXCONN
FOXCONN INTERCONNECT TECH,FOXCONN INTERCONNECT TECH LTD
FREELIN WADE,FREELIN WADE
Fresh Water Systems,FRESH WATER SYSTEMS
FTDI Chip,FTDI CHIP
"FTDI, Future Technology Devices International Ltd",FTDI
Future Electronics Corp,FUTURE ELECTRONICS
FUTURE TECHNOLOGY DEVICES INTERNATION LTD,FTDI
G&H Baltimore,G&H BALTIMORE
Grainger,GRAINGER INC
"Greene Rubber Company, Inc.",GREENE RUBBER
HALO,HALO ELECTRONICS
HALO ELECTRONICS,HALO ELECTRONICS
HAMMOND MANUFACTURING,HAMMOND MANUFACTURING
HARDWARE  SPECIALTY,HARDWARE  SPECIALTY
HARTING,HARTING ELEKTRONIK
HARWIN,HARWIN
HARWIN INC,HARWIN INC
"Helical Products Company, Inc.",HELICAL PRODUCTS
Helix Linear Technologies,HELIX LINEAR
HELUKABEL,HELUKABEL
Henkel,HENKEL ADHESIVES
Herotek Inc,Herotek Inc
Herotek Inc,Millimeter Wave Products Inc
Heyco,PACIFIC INTEGRATED HANDLING
HGST,"Sage Millimeter, Inc"
HIGH QUALITY,HIGH QUALITY MACHINE
HIROSE,HIROSE
Hirose Electric Co Ltd,HIROSE ELECTRIC
Honeywell,HONEYWELL
Honeywell AG,HONEYWELL
Honeywell Sensing,HONEYWELL
Hubbell Incorporated,HUBBELL
HUMMEL,HUMMEL
HUMMEL GROUP,HUMMEL
Hutchinson NA,HUTCHINSON NA
ICO RALLY,ICO-RALLY
IDEC AUTOMATION,IDEC
IDENTCO,IDENTCO
IDI,INTERCONNECT DEVICES INC
IEC,IEC
IGUS,IGUS GMBH
"Igus, Inc.",IGUS GMBH
ImageTek,IMAGETEK
IMAGE-TEK,IMAGETEK
Infineon,INFINEON TECHNOLOGIES AG
Infineon Technologies,INFINEON TECHNOLOGY
INSUL FAB OF TEXAS INC ,INSUL FAB OF TEXAS INC 
INSUL-FAB OF TEXAS,INSUL-FAB OF TEXAS
INTEGRATED DEVICE TECHNOLOGY,INTEGRATED DEVICE TECH
Integrated Device Technology (IDT),INTEGRATED DEVICE TECH
INTEL,INTEL CORP 
INTEL CORP,INTEL CORP
International Rectifier,INFINEON TECHNOLOGIES AG
INTERPOWER CORP,INTERPOWER CORP
INTERSIL,INTERSIL
IPOTEC,IPOTEC
IRISO ELECTRONICS,IRISO ELECTRONICS
ISSI,ISSI
ITS PRECISION,ITS PRECISION
"ITT Cannon, LLC", ITT CANNON 
ITW Texwipe,TEXWIPE
IXYS Integrated Circuits Division,IXYS INTEGRATED CIRCUITS DIV 
JAE,JAE ELECTRONICS
JML OPTICAL INDUSTRIES,JML OPTICAL INDUSTRIES
Johanson,JOHANSON DIELECTRICS
JOHANSON DIELECTRICS,JOHANSON DIELECTRICS
Johanson Dielectrics Inc.,JOHANSON DIALETRICS
JOHANSON TECHNOLOGY,JOHANSON TECHNOLOGY 
Johanson Technology Inc.,JOHANSON TECHNOLOGY 
Johnson Components,JOHNSON COMPNENTS
Johnson-Cinch Connectivity,CINCH CONNECTIVITY SOLUTIONS
JST Manufacturing,JST MANUFACTURING INC
JST Sales,JST SALES AMERICA INC
JST SALES AMERICA,JST SALES AMERICA INC
JST Sales America Inc.,JST SALES AMERICA INC
JW Winco,JW WINCO
K&L Microwave Inc,K & L MICROWAVE INC
K.R. Anderson,KR ANDERSON COMPANY
Kal Machining Inc.,KAL MACHINING
KAMAN INDUSTRIAL TECHNOLOGIES CORP,KAMAN INDUSTRIAL TECHNOLOGIES 
Kemet,KEMET ELECTRONICS CORP
KEMET ELECTRONICS CORP,KEMET ELECTRONICS CORP
Kemet Electronics Corporation,KEMET ELECTRONICS CORP
KENT LANDSBERG,KENT LANDSBERG
"Keymate Mechatronics(Suzhou)Co.,Ltd",KEYMATE MECHATRONICS SUZHOU
Keymawell Machine,KEYMATE GROUP
"Keymawell Machine  (Suzhou) Co., Ltd.",KEYMATE GROUP
KEYSTONE,KEYSTONE
Keystone Electronics,Keystone Electronics
KIMBALL ELECTRONICS ,KIMBALL ELECTRONICS 
Kingbright,Kingbright
KIPP Inc.,KIPP
KNOWLES NOVACAP,KNOWLES NOVACAP
KOA CORP,KOA CORP
KOA Speer,KOA  SPEER
KOA SPEER ELECT,KOA CORP
KOA Speer Electronics,KOA SPEER ELECT
KOA SPEER ELECTRONICS INC,KOA  SPEER
"KOA Speer Electronics, Inc",KOA  SPEER
"KOA Speer Electronics, Inc.",KOA  SPEER
KOA-SPEER ELECTRONICS,KOA-SPEER ELECTRONICS
"Koganei International America, Inc.",KOGANEI INTERNATIONAL AMERICA
Krisco,KRISCO MACHINING
KUNSHAN YUXIN WRIGHT INDUSTRIAL PROTOTYPE,YUXIN WRIGHT INDUSTRIAL PROTO
"KUNSHAN YUXIN WRIGHT INDUSTRIAL PROTOTYPE CO.,LTD",YUXIN WRIGHT INDUSTRIAL PROTO
Kyocera,KYOCERA
L5-WP,L5-WP
LAIRD,LAIRD TECHNOLOGIES
LAIRD TECHNOLOGIES,LAIRD TECHNOLOGIES
LAPP,LAPP GROUP
L-COM,L-COM
L-Com Connectivity Products,L-COM
LEADER TECH,LEADER TECH INC
LEE SPRING,LEE SPRING
LEGRIS CONNECTIC,LEGRIS
LINEAR,LINEAR TECHNOLOGY CORP
LINEAR TECHNOLOGY,LINEAR TECHNOLOGY CORP
LINEAR TECHNOLOGY CORP,LINEAR TECHNOLOGY CORP
Lite-on,LITE-ON
Lite-On Inc.,LITE-ON ELECTRONICS  INC
LitePoint,LITEPOINT
LitePoint,LITEPOINT CORP
LitePoint Corp,LITEPOINT CORP
LITTELFUSE,LITTELFUSE
Littelfuse Inc.,LITTELFUSE
Little Fuse,LITTLE FUSE
Littlefuse,LITTELFUSE
LOCTITE,LOCTITE
Loctite Corporation,LOCTITE
LOGITECH,LOGITECH
Louis and Company,LOUIS AND COMPANY
LTC,LINEAR TECHNOLOGY CORP
Lumex,LUMEX
Lumex Opto/Components Inc.,LUMEX OPTO COMPONENTS
Lumissil,LUMISSIL MICROSYSTEMS
Lustre Cal Corporation,LUSTRE-CAL
Lyft,Lyft
LYN-TRON,LYN-TRON
Manyyear,MANYYEAR
Marki Microwave,MARKI MICROWAVE
MARVELL,MARVELL 
MATEC,MATEC
Maxim,MAXIM INTEGRATED PRODUCTS
MAXIM IC,MAXIM INTEGRATED PRODUCTS
Maxim Integrated,MAXIM INTEGRATED
"Maxon Precision Motors, inc.",MAXON MOTOR
MC MASTER CARR,MCMASTER CARR
MC MASTER-CARR,MCMASTER CARR
McMaster,MCMASTER
MCMASTER (MCMASTER CARR),MCMASTER CARR
McMaster Carr Supply Company,MCMASTER CARR
MCMASTER-CARR,MCMASTER CARR
MCMASTER-CARR,MCMASTER-CARR
McMaster-Carr Supply Co.,MCMASTER CARR
Mean Well,MEAN WELL
MEAN WELL USA Inc.,MEAN WELL
Mecoptron,MECOPTRON
MELLANOX,MELLANOX
MENTOR GRAPHICS,SIEMENS
Merix Corporation,TTM TECHNOLOGIES
METALCRAFT INC,METALCRAFT INC
Micrel,MICROCHIP TECHNOLOGY INC
"Micrel, Inc.",MICROCHIP TECHNOLOGY INC
MICRO COMMERCIAL,MICRO COMMERCIAL
Micro Commercial Components,MICRO COMMERCIAL
Micro Lambda Wireless Inc,MICRO LAMBDA
MICRO PLASTICS INC,MICRO PLASTICS
MICROCHIP,MICROCHIP TECHNOLOGY INC
Microchip Technology,MICROCHIP TECHNOLOGY INC
MICROCHIP TECHNOLOGY INC,MICROCHIP TECHNOLOGY INC
Microchip Technology Inc.,MICROCHIP TECHNOLOGY INC
MICRON,MICRON TECHNOLOGY INC
MICRON TECHNOLGY,MICRON TECHNOLGY
Micron Technology Inc,MICRON TECHNOLOGY INC
Micron Technology Inc.,MICRON TECHNOLOG
MICROSOFT,MICROSOFT
Millimeter Wave Products Inc,Millimeter Wave Products Inc
Millimeter Wave Products Inc,MILLIMETER WAVE PRODUCTS INC
MINI CIRCUITS,MINI CIRCUITS
Mini-Circuits,MINI CIRCUITS
"Mini-Circuits 
",MINI CIRCUITS
Minus K Technology,MINUS K TECHNOLOGY
MISUMI,MISUMI
Misumi USA Inc.,MISUMI GROUP
MODTRONIX,MODTRONIX
Molex,MOLEX INC
Molex Connector Corporation,MOLEX CONNECTOR
MOLEX INC,MOLEX INC
"Molex, LLC",MOLEX INC
Molykote,MOLYKOTE
MOMENTIVE,MOMENTIVE PERFORMANCE
MOMENTIVE PERFORMANCE,MOMENTIVE PERFORMANCE
Monolithic Power Systems Inc.,MONOLITHIC POWER
Motion Industries,MOTION INDUSTRIES INC
MOUSER,MOUSER ELECTRONICS
Mouser Electronics,MOUSER ELECTRONICS
MPI Label Systems,MPI LABEL SYSTEMS
Multicomp - SPC Technology Multicomp,MULTICOMPONENT
MULTI-CONTACT,MULTI CONTACT
Murata,Murata
Murata Electronics,Murata
Murata Electronics North America,Murata
Murata Manufacturing,Murata
MURATA MANUFACTURING CO. LTD.,Murata
"Murata Manufacturing Co., LTD",Murata
Nalge Nunc International,NALGE NUNC
NAMICS CORPORATION,NAMICS CORPORATION
NATIONAL INSTRUMENTS,NATIONAL INSTRUMENTS
NBK America LLC,NBK AMERICA LLC
NDI,NDI
NDK,NDK
NEC,RENESAS ELECTRONICS
NETGEAR,NETGEAR
NEW ENGLAND SMALL TUBE CORP,NEW ENGLAND SMALL TUBE CORP
Newark,PREMIER FARNELL
NEXPERIA,NEXPERIA
NEXPERIA SEMICONDUCTOR,NEXPERIA
Nexperia USA,NEXPERIA USA INC
NEXPERIA USA INC,NEXPERIA
Nexperia USA Inc.,NEXPERIA USA INC
NIC Components,NIC COMPONENTS
NIC Components Corp.,NIC Components Corp
NICHICON,NICHICON
Nidec Copal Electronics,NIDEC
NINGBO YONGXIN OPTICS,NINGBO YONGXIN OPTICAL
NKK SWITCHES,NKK SWITCHES
Nook Industries,NOOK INDUSTRIES
"Nook Industries, Inc.",NOOK INDUSTRIES
Nordic Semiconductor ASA,NORDIC SEMICONDUCTOR
Norland Products,NORLAND PRODUCTS
NORTH AMERICAN BOLT & SCREW,NORTH AMERICAN BOLT & SCREW
NSK,NSK
"NTE Electronics, Inc",NTE ELECTRONICS
NXP,NXP SEMICONDUCT
NXP Freescale,NXP SEMICONDUCTORS
NXP Semiconductors,NXP Semiconductors
NXP USA Inc.,NXP SEMICONDUCTORS USA INC
OFFICE MAX,OFFICE MAX
Ohmite,OHMITE
OKGEAR,OKGEAR
OLANDER COMPANY INC,"OLANDER COMPANY, INC"
Olander Company Inc.,"OLANDER COMPANY, INC"
Olander Company Inc,"OLANDER COMPANY, INC"
OLANDER  COMPANY,"OLANDER COMPANY, INC"
Omron Electronics LLC,OMRON
ON SEMI,On Semiconductor
On Semiconductor,On Semiconductor
On Shore Technology,ON SHORE TECHNOLOGY
OptoSigma Corporation,OPTO SIGMA
ORION FANS,ORION FANS
ORTRONICS,ORTRONICS 
OZ OPTICS,OZ OPTICS
PACIFIC BIOSCIENCES,PACIFIC BIOSCIENCES
PACIFIC INTEGRATED HANDLING,PACIFIC INTEGRATED HANDLING
PACIFIC INTEGRATED HANDLING,PACIFIC INTEGRATED HANDLING
Panasonic,Panasonic
Panasonic / Panasonic ECG,PANASONIC - ECG
Panasonic Corporation,Panasonic
Panasonic ECG,PANASONIC - ECG
Panasonic Electronic Components,Panasonic
Panasonic-ECG,Panasonic
PANDUIT,PANDUIT
PARKER HANNIFIN,PARKER HANNIFIN
Peak System,PEAK
PEC,PEC MANUFACTURING 
PEC MANUFACTURING,PEC MANUFACTURING
"PEC Manufacturing, Inc",PEC MANUFACTURING
PEM,PENNENGINEERING
Pencom,PENCOM
PENN ENGINEERING,PENN ENGINEERING
PennEngineering,PENNENGINEERING
PENTAIR,PENTAIR
"Performance Motion Devices, Inc.",PERFORMANCE MOTION DEVICE
PERFORMANCE PCS,PERFORMANCE SEMICONDUCTOR
Pericom,PERICOM SEMICONDUCTOR
PH,PH
PHOENIX AMERICA,PHOENIX CONTACT INC
PHOENIX CONTACT,PHOENIX CONTACT INC
PLETRONICS,PLETRONICS
PLX TECHNOLOGY,PLX TECHNOLOGY
Pololu,POLOLU
Pro Stainless,PRO STAINLESS
"Pro Stainless, Inc.",PRO STAINLESS
PROMEX,PROMEX
PROTO LABS,PROTO LABS
PULS,PULS GMBH
PULSE,PULSE
PULSE ELECTRONICS,PULSE ELECTRONICS
Pulse Electronics Network,PULSE ELECTRONICS
Qorvo,QORVO
QUAL,QUALCOMM INC
QUAL,QUALITY FABRICATION
Qualtek,QUALTEK ELECTRONICS
QUALTEK ELECTRONICS CORP,QUALTEK ELECTRONICS
R.S. HUGHES,R S HUGHES
RAF Electronic Hardware,RAF ELECTRONIC HARDWARE
Raf Electronics,RAF ELECTRONICS
Rakon,RAKON
Rathbun Associates,RATHBUN ASSOCIATES INC
Recom Power,RECOM POWER
REPON,REPON
RF Coax Inc,RF COAX INC
RF-Lambda USA LLC,RF-LAMBDA
RFMD,RFMD
Richco,ESSENTRA COMPONENTS
Riedon,RIEDON  INC
RIPPEDSHEETS.COM,RIPPEDSHEETS.COM
ROGERS FOAM CORPORATION,ROGERS CORPORATION
ROHM,ROHM CO LTD
Rohm Semiconductor,ROHM SEMICONDUCTOR
Rollon,ROLLON CORPORATION
Rosenberger,ROSENBERGER
Sabrent,SABRENT
"Sage Millimeter, Inc",Sage Millimeter Inc
"Sage Millimeter, Inc",SAGE MILLIMETER INC
SAINT-GOBAIN,SAINT-GOBAIN
SALLY HANSEN,SALLY HANSEN
SAMSUNG,SAMSUNG ELECTRONICS INC
Samsung Electromechanics,SAMSUNG ELEC
Samsung Electro-Mechanics,SAMSUNG ELECTRO MECH 
"Samsung Electro-Mechanics America, Inc.",SAMSUNG ELECTRONICS INC
SAMSUNG ELECTRONICS INC,SAMSUNG ELECTRONICS INC
Samsung Semiconductor,SAMSUNG SEMICONDUCTOR
SAMTEC,SAMTEC INC
Samtec Inc,SAMTEC INC
SAMTEC INC.,SAMTEC INC
"Samtec, Inc.",SAMTEC INC
SANDISK CORP,SANDISK CORP
SANMINA,SANMINA CORPORATION
SANMINA CORP,SANMINA CORPORATION
SANMINA CORPORATION,SANMINA CORPORATION
Sanmina P20,SANMINA CORPORATION
Sanmina SJ,SANMINA
SANMINA-SCI,SANMINA CORPORATION
SANYO DENKI,SANYO DENKI
Sanyo Denki America Inc,SANYO DENKI
"Sanyo Denki Co., Ltd",SANYO DENKI CO LTD
SANYO-DENKI,SANYO DENKI
SAUNDERS (DIVISION OF R.S. HUGHS CO.),SAUNDERS
SCA PACKAGING,SCA PACKAGING
SCHAFFNER,SCHAFFNER
SCHMERSAL,SCHMERSAL
SCHURTER,SCHURTER
SDP/SI-Stock Drive Products/Sterling Instrument,SDP/SI
Seastrom Manufacturing Co. Inc,SEASTROM MANUFACTURING
Seiko,SEIKO
Seipo,SEIPO
SEIWA OPTICAL AMERICA INC.,SEIWA OPTICAL
"Semiconductor Circuits, Inc.",SEMICONDUCTOR CIRCUITS
SENSATA TECHNOLOGIES,SENSATA TECHNOLOGIES
SERIAL CABLES,SERIAL CABLES
SESA,SESA
SHARP DIMENSIONS,SHARP DIMENSION
SHARP/Socle Technology,SHARP CORP.
Shenzhen Components,SHENZHEN
Shenzhen Woer,SHENZHEN WOER
SHIQI PACKAGING PLANT,SHIQI PACKAGING PLANT
SIERRA PRECISION,SIERRA PRECISION
SIG,SIG
Silicon Laboratories,SILICON LABORATORIES
SILICON LABS,SILICON LABORATORIES
SMC,SMC LTD
SMC CORPORATION,SMC CORPORATION
SMC Diode Solutions,SMC DIODE SOLUTIONS
Solid State Cooling Systems,SOLID STATE COOLING SYS
SOLID STATE COOLING SYSTEMS INC,SOLID STATE COOLING SYS
Soundcoat,SOUNDCOAT
SOUTHCO,SOUTHCO
Spacek Labs Inc,SPACEK LABS INC
SPECTRUM LASER & TECH,SPECTRUM LASER & TECH
Speedtech International,SPEEDTECH INTERNATIONAL
SQUARE D,SQUARE D
ST Micro,ST MICROELECTRONICS
ST Microelectronics,ST MICROELECTRONICS
Stackpole,STACKPOLE
Stackpole Electronics,SEI ELECTRONICS
Stackpole Electronics Inc,SEI ELECTRONICS
Stackpole Electronics Inc.,STACKPOLE ELECTRONICS
Startech,STARTECH
Stäubli Electrical Connectors,STAUBLI 
STAY ONLINE CORP,STAY ONLINE CORP
STEELHEAD METAL ,STEELHEAD METAL 
STEPHEN GOULD,STEPHEN GOULD
STEPHEN GOULD CORP,STEPHEN GOULD CORP
STMicroelectronics,ST MICROELECTRONICS
Stock Drive Products,STOCK DRIVE PRODUCTS
Streamline Circuits,STREAMLINE CIRCUITS
SULLINS CONNECTOR SOLUTIONS,SULLINS CONNECTOR SOLUTIONS
"Sullins Connector Solutions, Inc.",SULLINS CONNECTOR
SUPER MICRO COMPUTER,SUPER MICRO COMPUTER
"Super Micro Computer, Inc.",SUPER MICRO COMPUTER
Super World Electronics,SUPER WORLD ELECTRONIC
Superior Metal,SUPERIOR METALS 
Superlink,SUPERLINK
SUPERMICRO,SUPERMICRO COMPUTER
SUPERMICRO COMPUTER,SUPERMICRO COMPUTER
Susumu,SUSUMU CO LTD
SWISSBIT,SWISSBIT
T & H MANUFACTURING,T & H MANUFACTURING
T AND H MANUFACTURING INC,T & H MANUFACTURING 
Tag Connect,TAG-CONNECT
Taiwan Semiconductor Corporation,TAIWAN SEMICONDUCTOR
Taiyo Yuden,TAIYO YUDEN
TAIYO YUDEN,TAIYO YUDEN INC
TAIYO YUDEN CO. LTD.,TAIYO YUDEN
Taiyo Yuden Inc.,TAIYO YUDEN INC
TAIYO-YUDEN,TAIYO YUDEN
TAIYO-YUDEN,TAIYO YUDEN INC
TDK,TDK CORP
TDK - LAMBDA AMERICAS INC,TDK-LAMBDA
TDK CORP,TDK CORP
TDK Corporation,TDK CORP
TDK Electronics,TDK ELECTRONICS
TDK EPCOS,TDK CORP
TDK Lambda,TDK-LAMBDA
TE Connectivity,TE CONNECTIVITY
TE Connectivity ALCOSWITCH Switches,TE CONNECTIVITY
TE Connectivity AMP Connectors,TE CONNECTIVITY
TE CONNECTIVITY LTD,TE CONNECTIVITY
TE Connectivity Ltd. company,TE CONNECTIVITY
Tecan US,TECAN COMPONENTS LTD
"Techflex, Inc",TECHFLEX INC
TELEMECANIQUE,TELEMECANIQUE
Tente,TENTE CASTERS
TEXAS  INSTRUMENTS INC,TEXAS INSTRUMENTS INC
Texas Instruments,TEXAS INSTRUMENTS INC
Texas Instruments Inc,TEXAS INSTRUMENTS INC
THK,THK
Thorlabs Inc.,THORLABS INC
TI,TEXAS INSTRUMENTS INC
TK GROUP,TK GROUP
